id,corresponding_id
pose_9,pose_10
pose_10,pose_9
pose_11,pose_12
pose_12,pose_11
pose_13,pose_14
pose_14,pose_13
pose_15,pose_16
pose_16,pose_15
pose_17,pose_18
pose_18,pose_17
pose_19,pose_20
pose_20,pose_19
pose_21,pose_22
pose_22,pose_21
pose_23,pose_24
pose_24,pose_23
pose_25,pose_26
pose_26,pose_25
pose_27,pose_28
pose_28,pose_27
pose_29,pose_30
pose_30,pose_29
pose_31,pose_32
pose_32,pose_31
right_hand_0,left_hand_0
right_hand_1,left_hand_1
right_hand_2,left_hand_2
right_hand_3,left_hand_3
right_hand_4,left_hand_4
right_hand_5,left_hand_5
right_hand_6,left_hand_6
right_hand_7,left_hand_7
right_hand_8,left_hand_8
right_hand_9,left_hand_9
right_hand_10,left_hand_10
right_hand_11,left_hand_11
right_hand_12,left_hand_12
right_hand_13,left_hand_13
right_hand_14,left_hand_14
right_hand_15,left_hand_15
right_hand_16,left_hand_16
right_hand_17,left_hand_17
right_hand_18,left_hand_18
right_hand_19,left_hand_19
right_hand_20,left_hand_20
